pileup,weight,N_gen,gw_pos,gw_neg,muon_pt,muon_eta,muon_phi,muon_mass,met_pt,met_phi,met_eta,calo_met_pt,met_pt_pf,met_phi_pf,electron_pt,electron_eta,electron_phi,electron_mass,tau_pt,tau_eta,tau_phi,tau_mass,photon_pt,photon_eta,photon_phi,photon_mass,lead_jet_pt,lead_jet_eta,lead_jet_phi,lead_jet_mass,lead_jet_btag_csvv2,lead_jet_ch_hef,lead_jet2_pt,lead_jet2_eta,lead_jet2_phi,lead_jet2_mass,lead_jet2_btag_csvv2,lead_jet2_ch_hef,lead_jet3_pt,lead_jet3_eta,lead_jet3_phi,lead_jet3_mass,lead_jet3_btag_csvv2,lead_jet3_ch_hef,lead_jet4_pt,lead_jet4_eta,lead_jet4_phi,lead_jet4_mass,lead_jet4_btag_csvv2,lead_jet4_ch_hef
15.0,4.5070887,33379.0,58565.0,25186.0,[],[],[],[],430.10342,1.5192871,0.0,360.75,424.4376,1.5727539,[],[],[],[],[],[],[],[],[],[],[],[],420.0,-0.0065641403,-1.7109375,40.15625,0.057556152,0.84375,32.46875,-0.07215881,0.007698059,5.5625,0.15661621,0.8515625,23.59375,-0.47961426,-0.37854004,3.3007812,-10.0,0.010009766,17.875,0.9951172,-0.14169312,1.9658203,0.44555664,0.75
21.0,4.5070887,33379.0,58565.0,25186.0,[3.87],[2.33],[2.75],[0.106],489.06293,-3.0039062,0.0,404.5,477.0085,-3.0585938,[],[],[],[],[],[],[],[],[],[],[],[],439.25,1.0546875,-0.44104004,36.3125,0.08319092,0.484375,268.5,-1.9465332,1.34375,17.078125,0.10491943,0.9921875,110.5,0.9139404,-1.0178223,19.078125,0.078063965,0.5703125,53.59375,-1.2578125,1.7871094,7.8945312,0.21606445,0.8125
28.0,-4.5070887,33379.0,58565.0,25186.0,[],[],[],[],480.08237,-1.826416,0.0,410.5,488.79706,-1.8464355,[],[],[],[],[],[],[],[],[],[],[],[],455.25,1.1437988,1.3098145,28.03125,0.12145996,0.671875,25.3125,-0.21166992,3.0683594,5.9375,0.1776123,0.875,24.859375,0.18353271,0.37982178,5.9960938,0.52441406,0.578125,15.0390625,1.293457,0.64453125,4.4140625,0.21240234,0.6640625
12.0,4.5070887,33379.0,58565.0,25186.0,[],[],[],[],390.7592,-0.6639404,0.0,384.75,398.67813,-0.6394043,[],[],[],[],[],[],[],[],[],[],[],[],509.0,1.5539551,2.7573242,52.3125,0.40576172,0.6171875,124.1875,2.199707,-0.07366943,13.96875,0.12976074,0.4296875,26.34375,0.16452026,0.6966553,4.4882812,0.13195801,0.984375,16.75,-0.33636475,1.578125,4.0195312,0.16455078,0.703125
19.0,4.5070887,33379.0,58565.0,25186.0,[6.69],[-1.7],[-2.84],[0.106],360.5696,-0.43121338,0.0,306.75,371.85257,-0.45141602,[],[],[],[],[],[],[],[],[],[],[],[],244.25,-0.9259033,2.3896484,31.46875,0.15539551,0.265625,211.625,-1.769043,-2.8232422,19.21875,0.60058594,0.71875,73.4375,0.65063477,0.8515625,11.921875,0.14758301,0.59375,16.796875,-0.39440918,-1.4631348,3.4394531,0.1953125,0.65625
17.0,4.5070887,33379.0,58565.0,25186.0,[],[],[],[],498.58215,0.88391113,0.0,422.25,494.3691,0.8664551,[],[],[],[],[],[],[],[],[],[],[],[],463.0,-0.6809082,-1.6308594,26.453125,0.101623535,0.7734375,232.625,-2.1430664,2.8085938,19.96875,0.36791992,0.75,32.375,1.833252,2.5117188,7.0820312,0.38476562,0.5078125,28.171875,-0.46099854,-2.7089844,6.1640625,0.09490967,0.671875
28.0,4.5070887,33379.0,58565.0,25186.0,[],[],[],[],545.3074,0.13348389,0.0,458.75,527.8141,0.12652588,[],[],[],[],[],[],[],[],[],[],[],[],467.25,-0.331604,-3.086914,42.15625,0.11883545,0.5078125,129.125,-0.7404785,3.0996094,13.2421875,0.060546875,0.453125,54.15625,0.68725586,-0.8272705,10.8515625,0.15246582,0.359375,19.40625,-1.8718262,-1.8862305,3.8808594,0.18432617,0.8828125
22.0,-4.5070887,33379.0,58565.0,25186.0,[],[],[],[],447.4356,-2.2285156,0.0,441.25,458.75168,-2.2675781,[],[],[],[],[],[],[],[],[],[],[],[],449.25,0.2574463,1.0949707,20.8125,0.09729004,0.859375,34.65625,1.4182129,-0.7252197,6.8515625,0.19311523,0.5,21.96875,-2.1748047,0.014656067,5.0195312,0.1932373,0.734375,16.90625,1.9462891,2.9101562,4.0859375,0.40356445,0.5703125
31.0,-4.5070887,33379.0,58565.0,25186.0,[],[],[],[],682.8263,2.5371094,0.0,597.0,666.7797,2.5249023,[],[],[],[],[],[],[],[],[],[],[],[],594.0,0.74853516,-0.59472656,38.1875,0.13549805,0.7421875,49.0625,-2.2441406,-1.2910156,9.6171875,0.5126953,0.4375,24.0625,-2.0976562,0.10974121,5.7460938,0.53466797,0.390625,19.15625,-0.04336548,-0.40081787,4.9414062,0.31396484,0.71875
22.0,-4.5070887,33379.0,58565.0,25186.0,[],[],[],[],506.74023,0.77368164,0.0,374.5,514.10876,0.7462158,[],[],[],[],[],[],[],[],[12.3],[2.39],[2.46],[-1.65e-06],439.5,1.1665039,-2.350586,45.84375,0.29125977,0.734375,29.515625,2.3535156,2.4785156,4.9960938,0.26733398,0.515625,24.53125,-0.049560547,-2.1030273,5.4296875,0.28344727,0.8203125,17.828125,-2.1054688,-2.2299805,3.8632812,0.13830566,0.9453125
26.0,4.5070887,33379.0,58565.0,25186.0,[],[],[],[],589.1167,2.8012695,0.0,500.5,581.4146,2.8408203,[],[],[],[],[18.4],[0.647],[0.0257],[0.14],[],[],[],[],486.25,-1.005127,-0.42730713,41.09375,0.12145996,0.578125,42.4375,-0.817749,0.3951416,5.953125,0.17126465,0.8203125,36.125,0.6069336,-0.052215576,7.3203125,0.27197266,0.5078125,34.34375,0.16220093,-0.69763184,5.4296875,0.1607666,0.7109375
23.0,-4.5070887,33379.0,58565.0,25186.0,[],[],[],[],536.19293,-0.27996826,0.0,354.25,507.80002,-0.2939453,[],[],[],[],[],[],[],[],[],[],[],[],351.75,0.32611084,2.4257812,41.9375,0.057281494,0.7265625,154.875,0.8775635,-1.6975098,26.40625,0.07556152,0.78125,80.8125,0.8892822,2.2246094,11.421875,0.26708984,0.6640625,55.78125,0.12576294,-3.133789,13.4296875,0.37304688,0.5859375
25.0,-4.5070887,33379.0,58565.0,25186.0,[],[],[],[],514.40967,-1.0061035,0.0,404.75,513.33154,-1.0266113,[],[],[],[],[],[],[],[],[],[],[],[],463.75,1.1811523,2.1870117,30.59375,0.2175293,0.4921875,29.8125,2.2519531,-2.8466797,3.7910156,0.14233398,0.765625,22.953125,-0.08934021,0.46313477,5.7929688,0.16906738,0.7734375,20.859375,0.73217773,1.6000977,4.984375,0.35302734,0.7890625
